Plot ID ,Province ,Forest class ,X ,Y ,AGB ,BGB 
201,Xaignabouly ,MD ,101.7151188,18.55047469,79.65,15.93
202,Xaisomboun ,MD ,103.3499164,18.5540602,180.17,43.24
204,Bolikhamxai ,EG ,102.9795445,18.50340534,333.25,79.98
206,Bolikhamxai ,EG ,103.2864584,18.47041983,540.43,129.7
208,Bolikhamxai ,EG ,104.1580067,18.35443294,473.28,113.59
212,Bolikhamxai ,MD ,105.0729742,18.23585202,207.98,49.92
213,Bolikhamxai ,EG ,105.1947137,18.21699701,582.89,139.89
218,Khammouan ,MD ,105.0893174,17.95714226,217.81,52.27
219,Khammouan ,EG ,105.3022097,17.96105673,339.78,81.55
222,Khammouan ,MD ,104.8999872,17.88731451,180.15,43.24
223,Khammouan ,EG ,105.2034807,17.88568402,363.97,87.35
230,Khammouan ,MD ,104.7436122,17.64641023,180.34,43.28
231,Khammouan ,MD ,105.7413403,17.61050195,113.06,22.61
233,Khammouan ,MD ,105.3508232,17.15502975,130.43,31.3
235,Savannakhet ,MD ,105.5520628,16.94426239,159.21,38.21
236,Savannakhet ,MD ,105.5387753,16.90521014,119.4,23.88
239,Savannakhet ,MD ,106.0482031,16.80203855,77.59,15.52
240,Savannakhet ,MD ,105.903366,16.73629488,179.27,43.03
241,Savannakhet ,MD ,105.9771451,16.7500138,266.61,63.99
242,Savannakhet ,MD ,105.840428,16.70979286,143.75,34.5
243,Savannakhet ,MD ,105.7221603,16.68715841,120.34,24.07
244,Savannakhet ,MD ,105.8514243,16.65438366,154.78,37.15
245,Savannakhet ,MD ,105.7520535,16.62205977,101.17,20.23
246,Savannakhet ,MD ,106.1946234,16.60798752,141.1,33.86
248,Savannakhet ,MD ,106.1325041,16.40298666,161.89,38.85
251,Savannakhet ,MD ,106.0700252,16.20905331,130.99,31.44
253,Savannakhet ,MD ,106.0703737,16.17167639,146.46,35.15
254,Salavan ,EG ,106.8970188,16.17531376,373.6,89.66
255,Savannakhet ,MD ,105.9304751,16.13139845,150.28,36.07
256,Savannakhet ,MD ,106.0443457,16.06807003,195.26,46.86
257,Salavan ,MD ,106.7363516,16.04638534,208.83,50.12
261,Savannakhet ,MD ,105.7081025,15.92599133,151.33,36.32
262,Savannakhet ,MD ,105.9160493,15.93410065,184.37,44.25
263,Xekong ,MD ,107.1721529,15.84161209,148.39,35.61
264,Salavan ,MD ,105.7175954,15.85309132,230.19,55.25
265,Salavan ,MD ,105.7372228,15.85246003,171,41.04
267,Xekong ,CF ,107.1628302,15.8464021,161.44,37.13
268,Salavan ,EG ,105.7552678,15.83535315,391.64,93.99
269,Salavan ,MD ,106.5682803,15.79041886,204.47,49.07
270,Xekong ,MD ,106.5828133,15.5202811,116.2,23.24
271,Xekong ,MD ,106.6104474,15.48959625,187.33,44.96
272,Xekong ,MD ,106.6362093,15.47034021,121.09,24.22
273,Champasak ,MD ,106.4097909,15.27593136,174.23,41.82
276,Champasak ,MD ,106.5753378,15.21990395,152.04,36.49
278,Attapeu ,MD ,106.4874863,14.94176399,193.03,46.33
281,Attapeu ,MD ,106.4233797,14.7931492,108.02,21.6
284,Champasak ,MD ,106.1530148,14.60577352,157.63,37.83
290,Oudomxai ,MD ,101.8584912,21.12096459,263.89,63.33
292,Louangnamtha ,MD ,101.3289007,20.98960375,140.43,33.7
293,Louangnamtha ,MD ,100.9704854,20.90064347,217.88,52.29
295,Louangnamtha ,MD ,101.282954,20.80527504,153.65,36.88
297,Bokeo ,MD ,100.5661144,20.65281881,197.74,47.46
298,Houaphan ,MD ,103.9949176,20.68357855,87.59,17.52
299,Bokeo ,MD ,100.6390899,20.59413817,166.26,39.9
301,Bokeo ,MD ,100.1709493,20.45866954,195,46.8
303,Bokeo ,MD ,100.7110102,20.32748464,164.52,39.49
304,Houaphan ,MD ,104.3663154,20.12449794,174.41,41.86
306,Xiengkhouang ,MD ,103.1970317,19.75275286,231.99,55.68
307,Xiengkhouang ,MCB ,103.1190287,19.55372311,136.69,32.81
308,Xiengkhouang ,MD ,103.1461615,19.54675691,104.39,20.88
309,Xiengkhouang ,MCB ,103.1542629,19.53209956,92.2,18.44
310,Xiengkhouang ,MCB ,103.0832677,19.49819576,53.88,10.78
311,Xiengkhouang ,MCB ,103.2766515,19.4999081,62.53,12.51
312,Xiengkhouang ,MCB ,103.2804491,19.50449866,98.87,19.77
313,Xiengkhouang ,CF ,103.3120828,19.50747265,118.38,37.88
314,Xiengkhouang ,MD ,102.7564535,19.42055516,132.27,31.75
315,Xiengkhouang ,CF ,103.3074322,19.49777721,182.01,41.86
316,Xiengkhouang ,CF ,102.996673,19.39265126,230.4,52.99
317,Xiengkhouang ,MD ,103.2380398,19.3908217,187.64,45.03
318,Xiengkhouang ,CF ,103.471378,19.43596692,183.38,42.18
319,Xiengkhouang ,MD ,103.0003271,19.37771605,146.22,35.09
320,Xiengkhouang ,CF ,103.0285825,19.37595631,125.73,40.23
321,Xiengkhouang ,MCB ,102.9987505,19.32014009,152.24,36.54
322,Khammouan ,MCB ,105.083835,17.87392366,194.43,46.66
323,Khammouan ,MCB ,105.1364835,17.87412558,210.78,50.59
324,Khammouan ,MCB ,105.0772511,17.85932172,142.07,34.1
325,Khammouan ,MCB ,105.1016075,17.86950032,164.87,39.57
326,Khammouan ,MCB ,105.1118471,17.85941463,223.39,53.61
327,Khammouan ,MCB ,105.1436798,17.86870216,177.42,42.58
328,Khammouan ,MCB ,105.1403233,17.82702201,232.57,55.82
329,Khammouan ,MCB ,105.1985454,17.84092528,215.16,51.64
330,Khammouan ,MCB ,105.1606825,17.81280676,158.16,37.96
331,Khammouan ,MCB ,105.1725739,17.80827526,212.66,51.04
332,Khammouan ,MCB ,105.2388995,17.76057841,239.88,57.57
333,Khammouan ,MCB ,105.3459021,17.70053658,275.08,66.02
334,Khammouan ,MCB ,105.3799241,17.7005968,307.74,73.86
335,Khammouan ,MCB ,105.392362,17.69843423,180.37,43.29
337,Xekong ,EG ,107.2422948,15.71466448,264.18,63.4
338,Xekong ,EG ,107.2520416,15.68414974,220.1,52.82
339,Xekong ,EG ,107.255642,15.65689288,364.66,87.52
346,Xekong ,CF ,107.2362644,15.42523967,85.65,27.41
347,Xekong ,CF ,107.1008042,15.40708036,207.62,47.75
348,Xekong ,CF ,107.2275454,15.41801665,94.42,30.22
350,Xekong ,CF ,107.1947865,15.37590886,51.88,16.6
352,Xekong ,CF ,107.1865826,15.36241508,94.12,30.12
353,Xekong ,MD ,107.5970675,15.29586554,195.03,46.81
354,Champasak ,MD ,105.3920586,14.36759616,87.82,17.56
355,Champasak ,MD ,105.4178655,14.34894748,52.41,10.48
